,IDENTIFIERS,,,,,CORE TRAIT INFORMATION,,,,,,,,,,,,,,,,,,,,,DATA PROVENANCE,,,,,,,,,,,,,,
ref_no,obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,life_stage,sex,n_indiv,no_groups,n_measurements_sampled,rate_name,rate_value,rate_min,rate_max,data_type,rate_unit,rate_error,rate_error_type,temp_C,body_length_mm,BM_wet,BM_dry,BM_C,weight_unit,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,locality,lat,lon,source,sourceNotes,verbatimComments,comments
Pata_24944,4,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Euchaeta plana,Unknown,Unknown,NA,NA,NA,RespirationRate,33.63545330834211,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28,NA,NA,NA,0.077894,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24951,5,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Euchirella amoena,Adult,Female,NA,NA,NA,RespirationRate,19.595769342219647,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28,NA,NA,NA,0.27608,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24995,6,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Labidocera,Adult,Female,NA,NA,NA,RespirationRate,30.200585981519048,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30,NA,NA,NA,0.08874,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25005,7,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Labidocera detruncata,Adult,Female,NA,NA,NA,RespirationRate,15.686274509803921,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28,NA,NA,NA,0.07395,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25191,8,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Paraeuchaeta elongata,Adult,Female,NA,NA,NA,RespirationRate,1.1302513800167522,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,6.7,NA,NA,NA,0.99093,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7597,9,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Sapphirina gemma,Adult,Male,NA,NA,NA,RespirationRate,37.09069834830484,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,29,NA,NA,NA,0.03451,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25339,10,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Subeucalanus crassus,Adult,Female,NA,NA,NA,RespirationRate,32.51070543159793,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30.2,NA,NA,NA,0.17748,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25341,11,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Subeucalanus monachus,Adult,Female,NA,NA,NA,RespirationRate,98.90403635391607,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30.2,NA,NA,NA,0.063597,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25343,12,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Subeucalanus mucronatus,Adult,Female,NA,NA,NA,RespirationRate,10.06954505940307,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30,NA,NA,NA,0.06902,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24792,13,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Calanus glacialis,Unknown,Unknown,NA,NA,NA,RespirationRate,0.825643516,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,5.8,NA,NA,NA,0.35003,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
