ref_no,assocTemperature,traitValue,traitName,traitUnit,scientificName,primaryReference,primaryReferenceDOI,secondaryReference,secondaryReferenceDOI,sizeAssocName,sizeAssocValue,sizeAssocUnit
Pata_26455,26,0.0277,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0559,mg
Pata_26456,26,0.015,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0565,mg
Pata_26457,26,0.0178,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0565,mg
Pata_26458,22,0.0022,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0987,mg
Pata_26459,22,0.0039,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0874,mg
Pata_26460,22,0.0028,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0698,mg
Pata_26461,22,0.0063,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0764,mg
Pata_26462,28,0.0068,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0301,mg
Pata_26463,22,0.0061,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0794,mg
Pata_26464,28,0.0045,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0609,mg
Pata_26465,28,0.0084,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0581,mg
Pata_26466,28,0.003,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0622,mg
Pata_26467,28,0.0145,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0363,mg
Pata_26468,28,0.01,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0679,mg
Pata_26469,22,0.0054,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0835,mg
Pata_26470,28,0.0469,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0551,mg
Pata_26471,28,0.0115,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.05,mg
Pata_26472,28,0.0138,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.055,mg
Pata_26473,22,0.0018,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0688,mg
Pata_26474,28,0.002,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0512,mg
Pata_26475,28,0.0013,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0574,mg
Pata_26476,22,0.0101,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0907,mg
Pata_26477,28,0.0026,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0663,mg
Pata_26478,22,0.0012,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0604,mg
Pata_26479,22,0.0041,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0822,mg
Pata_26480,22,0.0042,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0895,mg
Pata_26481,22,0.0023,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0746,mg
Pata_26482,0.1,0.011,excretionRateN,ug N-NH4+ h^-1,Calanus finmarchicus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.274,mg
Pata_26483,5,0.03221541,excretionRateN,ug N-NH4+ h^-1,Calanus finmarchicus,Gorsky1988b,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.136,mg
Pata_26484,0.1,0.015,excretionRateN,ug N-NH4+ h^-1,Calanus finmarchicus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.435,mg
Pata_26485,0.1,0.013,excretionRateN,ug N-NH4+ h^-1,Calanus finmarchicus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.423,mg
Pata_26486,0.1,0.016,excretionRateN,ug N-NH4+ h^-1,Calanus finmarchicus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.4,mg
Pata_26487,0.1,0.012,excretionRateN,ug N-NH4+ h^-1,Calanus finmarchicus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.411,mg
Pata_26488,3.5,0.028,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.395,mg
Pata_26489,-0.5,0.037,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.594,mg
Pata_26490,5,0.03781809,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Ikeda1981,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.25,mg
Pata_26491,-0.5,0.04,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.599,mg
Pata_26492,3.5,0.026,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.454,mg
Pata_26493,3.5,0.029,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.43,mg
Pata_26494,3.5,0.024,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.366,mg
Pata_26495,3.5,0.025,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.454,mg
Pata_26496,3.5,0.021,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.344,mg
Pata_26497,3.5,0.027,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.426,mg
Pata_26498,-0.5,0.042,excretionRateN,ug N-NH4+ h^-1,Calanus glacialis,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.674,mg
Pata_26499,1.8,0.049,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,5.37,mg
Pata_26500,1.8,0.058,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,3.4,mg
Pata_26501,1.8,0.048,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,2.72,mg
Pata_26502,-0.4,0.041,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,4.31,mg
Pata_26503,-0.1,0.064,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,3.09,mg
Pata_26504,-0.1,0.035,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,2.7,mg
Pata_26505,1.8,0.037,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,2.19,mg
Pata_26506,1.8,0.067,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,2.1,mg
Pata_26507,1.8,0.083,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.63,mg
Pata_26508,1.8,0.044,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.34,mg
Pata_26509,1.8,0.051,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.32,mg
Pata_26510,-0.1,0.051,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,2.15,mg
Pata_26511,-0.1,0.036,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.66,mg
Pata_26512,-0.1,0.037,excretionRateN,ug N-NH4+ h^-1,Calanus hyperboreus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.19,mg
Pata_26513,10,0.0700335,excretionRateN,ug N-NH4+ h^-1,Neocalanus plumchrus,Libourel1987,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.3,mg
Pata_26514,-1.2,0.036,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.792,mg
Pata_26515,-1,0.106,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.05,mg
Pata_26516,-1,0.107,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.05,mg
Pata_26517,-1.2,0.029,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.797,mg
Pata_26518,-1,0.108,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.04,mg
Pata_26519,-1,0.0796,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.806,mg
Pata_26520,-1,0.0749,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.867,mg
Pata_26521,-1,0.0829,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.853,mg
Pata_26522,-1,0.1008,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.836,mg
Pata_26523,-1,0.0981,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.817,mg
Pata_26524,-1,0.104,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.885,mg
Pata_26525,-1.2,0.033,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.86,mg
Pata_26526,-1,0.1108,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.867,mg
Pata_26527,-1.2,0.032,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.785,mg
Pata_26528,-1.2,0.03,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.83,mg
Pata_26529,-1.2,0.045,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.62,mg
Pata_26530,-1.2,0.035,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.761,mg
Pata_26531,-1.2,0.031,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.823,mg
Pata_26532,-1.2,0.037,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.848,mg
Pata_26533,-1.2,0.038,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.868,mg
Pata_26534,-1.2,0.041,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Walve1999,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.862,mg
Pata_26535,-1,0.127,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.03,mg
Pata_26536,-1,0.078,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.06,mg
Pata_26537,-1,0.113,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.01,mg
Pata_26538,-1,0.115,excretionRateN,ug N-NH4+ h^-1,Calanus propinquus,Whittaker1961,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.04,mg
Pata_26539,20,0.219,excretionRateN,ug N-NH4+ h^-1,Neocalanus robustior,Ikeda2006,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.32,mg
Pata_26540,27,0.075,excretionRateN,ug N-NH4+ h^-1,Candacia ethiopica,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.103,mg
Pata_26541,28.5,0.152,excretionRateN,ug N-NH4+ h^-1,Candacia pachydactyla,Ikeda2006,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.18,mg
Pata_26542,17.3,0.01,excretionRateN,ug N-NH4+ h^-1,Centropages brachiatus,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0203,mg
Pata_26543,17.3,0.012,excretionRateN,ug N-NH4+ h^-1,Centropages brachiatus,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0192,mg
Pata_26544,22,0.014,excretionRateN,ug N-NH4+ h^-1,Centropages furcatus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.1625,mg
Pata_26545,20,0.096,excretionRateN,ug N-NH4+ h^-1,Chirundina streetsii,Ikeda2006,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.83,mg
Pata_26546,22,4e-4,excretionRateN,ug N-NH4+ h^-1,Corycaeus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0345,mg
Pata_26547,22,0.0017,excretionRateN,ug N-NH4+ h^-1,Corycaeus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0187,mg
Pata_26548,22,0.0013,excretionRateN,ug N-NH4+ h^-1,Corycaeus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0354,mg
Pata_26549,26.7,0.091,excretionRateN,ug N-NH4+ h^-1,Pareucalanus attenuatus,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0885,mg
Pata_26550,27.8,0.054,excretionRateN,ug N-NH4+ h^-1,Pareucalanus attenuatus,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.129,mg
Pata_26551,27.8,0.049,excretionRateN,ug N-NH4+ h^-1,Pareucalanus attenuatus,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.131,mg
Pata_26552,27.4,0.086,excretionRateN,ug N-NH4+ h^-1,Pareucalanus attenuatus,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.201,mg
Pata_26553,28.5,0.307,excretionRateN,ug N-NH4+ h^-1,Pareucalanus attenuatus,Ikeda2006,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.29,mg
Pata_26554,6,0.041,excretionRateN,ug N-NH4+ h^-1,Eucalanus bungii,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.01,mg
Pata_26555,6,0.074,excretionRateN,ug N-NH4+ h^-1,Eucalanus bungii,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.01,mg
Pata_26556,4,0.22690854,excretionRateN,ug N-NH4+ h^-1,Eucalanus bungii,Gorsky1988a,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.09,mg
Pata_26557,22,0.0036,excretionRateN,ug N-NH4+ h^-1,Subeucalanus subcrassus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.1154,mg
Pata_26558,22,0.0055,excretionRateN,ug N-NH4+ h^-1,Subeucalanus subcrassus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0817,mg
Pata_26559,22,0.0016,excretionRateN,ug N-NH4+ h^-1,Subeucalanus subcrassus,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0737,mg
